Gene	testCode	geneCaptExon	meanDep	maxDep	minDep	10Xcover	20Xcover	50Xcover	100Xcover	200Xcover	500Xcover	1000Xcover
HCLS1	C1021	90.456%	458	753	239	100.00%	100.00%	100.00%	100.00%	100.00%	28.99%	0.00%
FCRL4	C1021	47.0588%	486	585	381	100.00%	100.00%	100.00%	100.00%	100.00%	43.33%	0.00%
CCT6B	C1021,P1021	81.0811%	487	549	398	100.00%	100.00%	100.00%	100.00%	100.00%	34.17%	0.00%
PRKCI	C1021	67.7966%	426	495	346	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
RAC2	C1021,P1021	75%	392	496	287	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
RAC1	C1021	100%	475	718	269	100.00%	100.00%	100.00%	100.00%	100.00%	31.42%	0.00%
NR4A2	C1021	73.1707%	410	503	290	100.00%	100.00%	100.00%	100.00%	100.00%	0.83%	0.00%
CARD11	C1021,Lym79,Lym93	100%	534	809	185	100.00%	100.00%	100.00%	100.00%	99.89%	68.82%	0.00%
DRGX	C1021,P1021	45.1128%	415	499	290	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
FCGR2B	C1021,P1021	60.2041%	516	656	325	100.00%	100.00%	100.00%	100.00%	100.00%	62.50%	0.00%
SRSF7	C1021	67.7966%	434	510	323	100.00%	100.00%	100.00%	100.00%	100.00%	5.83%	0.00%
MLL	C1021,Lym79,Lym93,P1021	100.847%	696	980	251	100.00%	100.00%	100.00%	100.00%	100.00%	88.45%	0.00%
FCGR2A	C1021,P1021	78.4091%	591	715	373	100.00%	100.00%	100.00%	100.00%	100.00%	77.37%	0.00%
HIST1H3B	C1021,P1021	58.3942%	483	617	296	100.00%	100.00%	100.00%	100.00%	100.00%	50.42%	0.00%
HIST1H3C	NA	26.764%	381	462	237	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
CYBA	C1021	84.5238%	348	407	244	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
HIST1H3F	NA	29.1971%	415	485	328	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
HIST1H3G	NA	26.764%	450	539	304	100.00%	100.00%	100.00%	100.00%	100.00%	36.36%	0.00%
EBF1	C1021	66.6667%	457	579	308	100.00%	100.00%	100.00%	100.00%	100.00%	30.00%	0.00%
RASA1	C1021	98.3471%	369	433	274	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
PDCD1LG2	C1021,Lym79,Lym93,E73	100%	595	853	355	100.00%	100.00%	100.00%	100.00%	100.00%	84.66%	0.00%
HIST1H3H	NA	29.1971%	435	522	304	100.00%	100.00%	100.00%	100.00%	100.00%	18.33%	0.00%
HIST1H3I	NA	26.764%	443	556	317	100.00%	100.00%	100.00%	100.00%	100.00%	29.09%	0.00%
CTNNA1	C1021	100%	597	816	253	100.00%	100.00%	100.00%	100.00%	100.00%	82.47%	0.00%
CTNNA2	C1021,P1021	58.8235%	407	468	327	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
CHD1L	C1021	100%	524	620	391	100.00%	100.00%	100.00%	100.00%	100.00%	62.73%	0.00%
CCNB3	C1021	4.0107%	229	264	183	100.00%	100.00%	100.00%	100.00%	84.17%	0.00%	0.00%
BAP1	C1021,P1021,H41,H62,FC59,H68,HR14,MC58,H54	100%	573	706	333	100.00%	100.00%	100.00%	100.00%	100.00%	84.14%	0.00%
SLC16A1	C1021	43.6364%	374	455	295	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
SRSF2	C1021	36.036%	374	464	266	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
MCC	C1021	66.2983%	458	530	343	100.00%	100.00%	100.00%	100.00%	100.00%	24.17%	0.00%
NOTCH1	C1021,Lym79,Lym93,P1021	99.5305%	554	775	165	100.00%	100.00%	100.00%	100.00%	99.92%	75.75%	0.00%
NOTCH2	C1021,Lym79,Lym93,P1021	111.866%	710	1565	297	100.00%	100.00%	100.00%	100.00%	100.00%	90.32%	7.46%
TLX3	C1021	56.872%	358	450	221	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
TYMS	C1021	32.8084%	375	490	234	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
GSTP1	C1021	69.8113%	384	566	251	100.00%	100.00%	100.00%	100.00%	100.00%	18.79%	0.00%
FGFR4	C1021,P1021	100%	617	839	290	100.00%	100.00%	100.00%	100.00%	100.00%	85.08%	0.00%
ARHGAP35	C1021,P1021	6.29426%	346	435	208	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
PTCH2	C1021,P1021	100.029%	623	813	80	100.00%	100.00%	100.00%	99.80%	99.16%	91.91%	0.00%
FOXL2	C1021,P1021	96.9054%	520	743	241	100.00%	100.00%	100.00%	100.00%	100.00%	64.24%	0.00%
WIPF1	C1021	15.5642%	434	526	308	100.00%	100.00%	100.00%	100.00%	100.00%	19.17%	0.00%
PTCH1	C1021,E59,P1021,E73,GO2	97.3757%	575	800	250	100.00%	100.00%	100.00%	100.00%	100.00%	77.45%	0.00%
MMP2	C1021	52.8634%	428	527	297	100.00%	100.00%	100.00%	100.00%	100.00%	19.17%	0.00%
BPTF	C1021	33.7079%	440	552	312	100.00%	100.00%	100.00%	100.00%	100.00%	30.00%	0.00%
AR	C1021,E59,P1021,E73	99.7105%	315	414	167	100.00%	100.00%	100.00%	100.00%	98.72%	0.00%	0.00%
PDCD1	C1021	105.536%	591	839	356	100.00%	100.00%	100.00%	100.00%	100.00%	78.81%	0.00%
WWP2	C1021,P1021	93.0233%	406	500	275	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
ACTG1	C1021	97.561%	346	442	233	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
ACTG2	C1021	74.0741%	454	552	347	100.00%	100.00%	100.00%	100.00%	100.00%	31.67%	0.00%
WWP1	C1021	64.8649%	518	600	416	100.00%	100.00%	100.00%	100.00%	100.00%	65.00%	0.00%
AFF3	C1021	10.9589%	333	380	263	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
TBX22	C1021,P1021	68.5714%	202	243	139	100.00%	100.00%	100.00%	100.00%	57.50%	0.00%	0.00%
CHN1	C1021	41.5225%	415	506	321	100.00%	100.00%	100.00%	100.00%	100.00%	4.17%	0.00%
C7orf53	C1021,P1021	93.0233%	456	523	370	100.00%	100.00%	100.00%	100.00%	100.00%	15.00%	0.00%
HIST1H1E	C1021	18.1818%	360	452	239	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
SOX17	C1021	23.2409%	393	500	236	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
AXL	C1021,P1021	100%	468	641	188	100.00%	100.00%	100.00%	100.00%	99.85%	49.32%	0.00%
GPS2	P1021	100%	503	568	440	100.00%	100.00%	100.00%	100.00%	100.00%	50.55%	0.00%
ZNF384	C1021	53.3333%	400	479	287	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
PAK1	C1021	68.5714%	419	494	300	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
DNMT1	C1021	54.0541%	457	572	305	100.00%	100.00%	100.00%	100.00%	100.00%	30.00%	0.00%
CACNA1E	C1021,P1021	85.7143%	444	542	350	100.00%	100.00%	100.00%	100.00%	100.00%	15.83%	0.00%
EML4	C1021	100%	532	586	456	100.00%	100.00%	100.00%	100.00%	100.00%	81.02%	0.00%
FAM46C	C1021	10.2041%	455	564	313	100.00%	100.00%	100.00%	100.00%	100.00%	37.50%	0.00%
INHBA	C1021,P1021	13.4378%	417	526	285	100.00%	100.00%	100.00%	100.00%	100.00%	18.33%	0.00%
MAGI2	C1021	40.7332%	392	560	271	100.00%	100.00%	100.00%	100.00%	100.00%	7.17%	0.00%
GFRAL	C1021,P1021	36.2538%	472	550	390	100.00%	100.00%	100.00%	100.00%	100.00%	28.33%	0.00%
H3F3C	C1021	29.4118%	501	609	342	100.00%	100.00%	100.00%	100.00%	100.00%	52.50%	0.00%
HIST1H1C	C1021	51.0903%	594	732	321	100.00%	100.00%	100.00%	100.00%	100.00%	85.06%	0.00%
NUP210	C1021,P1021	66.6667%	327	393	227	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
SETDB1	C1021	46.1538%	453	547	346	100.00%	100.00%	100.00%	100.00%	100.00%	25.00%	0.00%
GUSB	C1021	63.9785%	342	417	230	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
BRCA1	C1021,DB16,E59,P1021,E73,C1021,H41,H62,HB2,HB23,HD31,HP16,FC59,FH44,H68,HBO28,HD32,HPro6,MC58,MH43,H54	100.089%	726	979	324	100.00%	100.00%	100.00%	100.00%	100.00%	87.82%	0.00%
ERBB3	C1021,P1021	100%	594	819	279	100.00%	100.00%	100.00%	100.00%	100.00%	82.18%	0.00%
FAM131B	C1021,P1021	25.37%	379	444	287	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
BRCA2	C1021,DB16,E59,P1021,E73,C1021,H41,H62,HB2,HB23,HD31,HP16,FC59,FH44,H68,HBO28,HD32,HPro6,MC58,MH43,H54	100%	715	979	313	100.00%	100.00%	100.00%	100.00%	100.00%	95.55%	0.00%
NF1	C1021,DG11,E59,P1021,E73,H41,H62,HB23,HE15,FC59,FH44,H68,HBO28,MC58,MH43	100%	628	937	159	100.00%	100.00%	100.00%	100.00%	99.94%	85.94%	0.00%
ERBB4	C1021,Lym79,Lym93,P1021	100%	593	824	307	100.00%	100.00%	100.00%	100.00%	100.00%	78.20%	0.00%
SNTG1	C1021,P1021	91.6031%	455	543	333	100.00%	100.00%	100.00%	100.00%	100.00%	32.50%	0.00%
IDH2	C1021,E59,Lym79,Lym93,P1021,E73	100%	505	779	219	100.00%	100.00%	100.00%	100.00%	100.00%	55.84%	0.00%
IDH1	C1021,E59,P1021,E73	100%	612	818	316	100.00%	100.00%	100.00%	100.00%	100.00%	84.84%	0.00%
CDH23	C1021	76.3318%	503	797	183	100.00%	100.00%	100.00%	100.00%	99.95%	48.60%	0.00%
WSCD2	C1021,P1021	64.8649%	463	558	342	100.00%	100.00%	100.00%	100.00%	100.00%	35.83%	0.00%
PASK	C1021	51.5021%	438	509	345	100.00%	100.00%	100.00%	100.00%	100.00%	6.67%	0.00%
PER1	C1021	39.1162%	261	433	127	100.00%	100.00%	100.00%	100.00%	63.18%	0.00%	0.00%
TJP1	C1021	13.7457%	357	441	256	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
RICTOR	C1021,P1021	100.917%	545	847	249	100.00%	100.00%	100.00%	100.00%	100.00%	61.92%	0.00%
BRD4	C1021,P1021	93.6415%	503	729	40	100.00%	100.00%	99.37%	97.78%	95.83%	65.60%	0.00%
PTPN13	C1021,P1021	53.8117%	460	567	321	100.00%	100.00%	100.00%	100.00%	100.00%	40.83%	0.00%
MDM2	C1021,P1021	100%	604	919	221	100.00%	100.00%	100.00%	100.00%	100.00%	69.44%	0.00%
SETD2	C1021,Lym93,P1021	99.5062%	665	927	221	100.00%	100.00%	100.00%	100.00%	100.00%	88.76%	0.00%
FGFR2	C1021,E59,P1021,E73	99.4728%	616	889	300	100.00%	100.00%	100.00%	100.00%	100.00%	84.74%	0.00%
FGFR3	C1021,E59,P1021,E73	100%	552	782	240	100.00%	100.00%	100.00%	100.00%	100.00%	76.95%	0.00%
BRD2	C1021,P1021	76.7959%	664	916	335	100.00%	100.00%	100.00%	100.00%	100.00%	92.30%	0.00%
FGFR1	C1021,E59,Lym79,Lym93,P1021,E73	100%	568	790	176	100.00%	100.00%	100.00%	100.00%	99.36%	76.35%	0.00%
RSPO3	C1021	60.6061%	377	473	260	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
RSPO2	C1021	63.4921%	535	659	403	100.00%	100.00%	100.00%	100.00%	100.00%	61.67%	0.00%
ADCY1	C1021	39.604%	431	533	297	100.00%	100.00%	100.00%	100.00%	100.00%	21.67%	0.00%
SYK	C1021,Lym93,P1021	100%	553	792	295	100.00%	100.00%	100.00%	100.00%	100.00%	68.77%	0.00%
PTPN11	C1021,E59,P1021	100%	565	724	336	100.00%	100.00%	100.00%	100.00%	100.00%	73.62%	0.00%
OMD	C1021	63.1902%	623	733	439	100.00%	100.00%	100.00%	100.00%	100.00%	91.75%	0.00%
TCF7L2	C1021	100%	510	744	165	100.00%	100.00%	100.00%	100.00%	98.52%	55.57%	0.00%
KIT	C1021,DG11,E59,Lym79,Lym93,P1021,E73,H62,HD31,HG15,FC59,FH44,H68,HD32,MC58,MH43,H54	100%	552	843	218	100.00%	100.00%	100.00%	100.00%	100.00%	69.21%	0.00%
FOXA1	C1021,P1021	100%	550	714	170	100.00%	100.00%	100.00%	100.00%	98.24%	85.15%	0.00%
RUNX1	C1021,P1021	100%	524	745	227	100.00%	100.00%	100.00%	100.00%	100.00%	54.38%	0.00%
BMPR2	C1021	51.9481%	487	589	356	100.00%	100.00%	100.00%	100.00%	100.00%	47.50%	0.00%
POM121L12	C1021,P1021	13.468%	408	487	309	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
PRRX1	C1021,P1021	86.3309%	466	532	365	100.00%	100.00%	100.00%	100.00%	100.00%	22.50%	0.00%
HIST3H3	NA	29.1971%	400	473	302	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
EME2	C1021	77.6316%	524	759	272	100.00%	100.00%	100.00%	100.00%	100.00%	44.86%	0.00%
DMD	C1021,P1021	93.0233%	272	317	221	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
PNRC1	NA	27.027%	445	529	343	100.00%	100.00%	100.00%	100.00%	100.00%	23.33%	0.00%
CLSPN	C1021	20.8696%	449	548	307	100.00%	100.00%	100.00%	100.00%	100.00%	31.67%	0.00%
DOCK2	C1021	67.7966%	388	488	256	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
HRAS	C1021,DC16,E59,P1021,E73	130%	619	798	451	100.00%	100.00%	100.00%	100.00%	100.00%	97.56%	0.00%
GAB2	C1021,P1021	58.7668%	503	725	279	100.00%	100.00%	100.00%	100.00%	100.00%	47.09%	0.00%
DOCK7	C1021	71.4286%	435	521	344	100.00%	100.00%	100.00%	100.00%	100.00%	9.17%	0.00%
CRTC1	C1021	54.2986%	309	397	180	100.00%	100.00%	100.00%	100.00%	91.67%	0.00%	0.00%
TNFRSF14	Lym79,Lym93	100%	495	698	264	100.00%	100.00%	100.00%	100.00%	100.00%	59.77%	0.00%
IFNGR1	C1021	100%	585	803	278	100.00%	100.00%	100.00%	100.00%	100.00%	75.83%	0.00%
XRCC1	C1021,P1021	83.3705%	406	543	231	100.00%	100.00%	100.00%	100.00%	100.00%	4.91%	0.00%
TSHR	C1021	100%	554	744	286	100.00%	100.00%	100.00%	100.00%	100.00%	67.25%	0.00%
XRCC3	C1021	65.9198%	419	600	248	100.00%	100.00%	100.00%	100.00%	100.00%	15.07%	0.00%
XRCC2	C1021,FC59,FH44,H68,HBO28,MC58,MH43	100%	682	836	381	100.00%	100.00%	100.00%	100.00%	100.00%	85.46%	0.00%
DAXX	C1021	100%	664	840	199	100.00%	100.00%	100.00%	100.00%	99.96%	92.37%	0.00%
SDHAF2	C1021,H62,HE15,FC59,H68,MC58,H54	100%	574	687	311	100.00%	100.00%	100.00%	100.00%	100.00%	77.62%	0.00%
PPM1D	C1021	63.9693%	621	843	296	100.00%	100.00%	100.00%	100.00%	100.00%	77.46%	0.00%
MAML2	C1021	11.9466%	467	639	309	100.00%	100.00%	100.00%	100.00%	100.00%	34.31%	0.00%
MAML3	C1021	7.44879%	430	519	328	100.00%	100.00%	100.00%	100.00%	100.00%	15.83%	0.00%
PDE4DIP	C1021,P1021	52.8634%	994	1199	715	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	50.83%
EGR3	C1021	11.8812%	404	475	305	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
AHNAK	C1021	0.692401%	449	559	292	100.00%	100.00%	100.00%	100.00%	100.00%	35.83%	0.00%
JUN	NA	87.5502%	586	773	415	100.00%	100.00%	100.00%	100.00%	100.00%	79.84%	0.00%
AFF2	C1021	90.2256%	244	301	176	100.00%	100.00%	100.00%	100.00%	79.17%	0.00%	0.00%
AFF1	C1021	13.3333%	402	487	298	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
PC	C1021	48.9796%	430	529	300	100.00%	100.00%	100.00%	100.00%	100.00%	17.50%	0.00%
PPP6C	C1021	57.1429%	465	548	303	100.00%	100.00%	100.00%	100.00%	100.00%	39.17%	0.00%
CDK4	C1021,DB16,E59,P1021,E73,H41,H62,HD31,HP16,FC59,FH44,H68,HD32,MC58,MH43,H54	100%	542	744	255	100.00%	100.00%	100.00%	100.00%	100.00%	67.14%	0.00%
MSR1	C1021	29.0557%	382	469	264	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
CHEK2	C1021,P1021,E73,H41,H62,HB23,HD31,FC59,FH44,H68,HBO28,HC22,HD32,HPro6,MC58,MH43,H54	100%	554	871	255	100.00%	100.00%	100.00%	100.00%	100.00%	59.72%	0.00%
CHEK1	C1021,P1021	100%	500	679	247	100.00%	100.00%	100.00%	100.00%	100.00%	53.71%	0.00%
EPHB2	C1021	67.1283%	512	732	245	100.00%	100.00%	100.00%	100.00%	100.00%	48.38%	0.00%
PLCB1	C1021	75.9494%	457	536	366	100.00%	100.00%	100.00%	100.00%	100.00%	30.83%	0.00%
EPHB1	C1021,P1021	100%	541	773	238	100.00%	100.00%	100.00%	100.00%	100.00%	67.82%	0.00%
EPHB6	C1021	100%	580	838	238	100.00%	100.00%	100.00%	100.00%	100.00%	80.30%	0.00%
UMPS	C1021	17.8571%	381	467	283	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
EPHB4	C1021	61.8557%	323	418	222	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
TSHZ2	C1021	3.91517%	358	434	256	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
TSHZ3	C1021	3.74298%	470	564	342	100.00%	100.00%	100.00%	100.00%	100.00%	33.33%	0.00%
OR5L2	C1021,P1021	12.8205%	434	508	301	100.00%	100.00%	100.00%	100.00%	100.00%	4.17%	0.00%
PARP1	C1021	100%	556	792	276	100.00%	100.00%	100.00%	100.00%	100.00%	71.22%	0.00%
TRRAP	C1021	67.2646%	418	528	256	100.00%	100.00%	100.00%	100.00%	100.00%	5.83%	0.00%
TUBB3	C1021	11.1524%	459	528	360	100.00%	100.00%	100.00%	100.00%	100.00%	20.83%	0.00%
PAX5	C1021,Lym79,Lym93	100%	490	640	224	100.00%	100.00%	100.00%	100.00%	100.00%	53.29%	0.00%
PAX7	C1021	48.583%	441	529	317	100.00%	100.00%	100.00%	100.00%	100.00%	25.00%	0.00%
PAX3	C1021	55.814%	489	581	369	100.00%	100.00%	100.00%	100.00%	100.00%	46.67%	0.00%
ELAC2	C1021	65.5469%	457	700	253	100.00%	100.00%	100.00%	100.00%	100.00%	30.50%	0.00%
PTPN2	C1021	57.1429%	350	422	236	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
NCF2	C1021,P1021	67.4157%	447	535	334	100.00%	100.00%	100.00%	100.00%	100.00%	24.17%	0.00%
SCUBE2	C1021	57.971%	401	500	286	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
ABCA13	C1021	57.6402%	432	585	253	100.00%	100.00%	100.00%	100.00%	100.00%	16.08%	0.00%
ESR2	C1021	11.2299%	279	309	259	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
GNAQ	C1021,P1021,E73	100%	610	795	424	100.00%	100.00%	100.00%	100.00%	100.00%	88.50%	0.00%
GNAS	C1021,P1021,E73	100.928%	525	737	114	100.00%	100.00%	100.00%	100.00%	88.31%	67.53%	0.00%
DDR2	C1021,E59,P1021,E73	100%	623	771	340	100.00%	100.00%	100.00%	100.00%	100.00%	87.50%	0.00%
CD274	C1021,Lym79,Lym93,P1021,E73	100%	575	833	275	100.00%	100.00%	100.00%	100.00%	100.00%	67.58%	0.00%
PALB2	C1021,P1021,E73,C1021,H41,H62,HB23,HD31,HP16,FC59,FH44,H68,HBO28,HD32,MC58,MH43,H54	100%	703	922	280	100.00%	100.00%	100.00%	100.00%	100.00%	88.33%	0.00%
DDR1	C1021,P1021	99.848%	584	852	225	100.00%	100.00%	100.00%	100.00%	100.00%	81.91%	0.00%
SFPQ	C1021	100%	533	662	374	100.00%	100.00%	100.00%	100.00%	100.00%	59.66%	0.00%
NFE2L3	C1021	9.59233%	401	484	280	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
EIF3A	C1021	77.9221%	522	671	340	100.00%	100.00%	100.00%	100.00%	100.00%	55.83%	0.00%
ZNF750	C1021	8.35655%	437	534	286	100.00%	100.00%	100.00%	100.00%	100.00%	23.33%	0.00%
FGF23	C1021	27.2109%	407	486	304	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
TFDP1	C1021,P1021	72.2892%	505	620	339	100.00%	100.00%	100.00%	100.00%	100.00%	58.33%	0.00%
PHF1	C1021	96.7742%	376	454	263	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
MSN	C1021	72.7273%	238	284	178	100.00%	100.00%	100.00%	100.00%	87.50%	0.00%	0.00%
OBSCN	C1021	43.4783%	434	532	301	100.00%	100.00%	100.00%	100.00%	100.00%	22.50%	0.00%
PMS2	C1021,DC16,E59,P1021,E73,C1021,H41,H62,HB23,HD31,HG15,HP16,FC59,FH44,H68,HBO28,HC22,HD32,HR14,LS5,MC58,MH43,H54	100%	584	833	273	100.00%	100.00%	100.00%	100.00%	100.00%	77.23%	0.00%
SH2D1A	NA	83.9416%	204	246	137	100.00%	100.00%	100.00%	100.00%	56.52%	0.00%	0.00%
INPP4B	C1021,P1021	100%	543	765	274	100.00%	100.00%	100.00%	100.00%	100.00%	65.73%	0.00%
SLCO1B3	C1021	49.3827%	431	517	319	100.00%	100.00%	100.00%	100.00%	100.00%	14.17%	0.00%
TBX3	C1021,P1021	100%	625	819	331	100.00%	100.00%	100.00%	100.00%	100.00%	91.38%	0.00%
NTRK2	C1021	100%	551	756	282	100.00%	100.00%	100.00%	100.00%	100.00%	74.91%	0.00%
CTNND1	C1021	25.8621%	413	515	304	100.00%	100.00%	100.00%	100.00%	100.00%	11.67%	0.00%
BCORL1	C1021	6.76628%	198	240	138	100.00%	100.00%	100.00%	100.00%	50.83%	0.00%	0.00%
RAF1	C1021,E59,P1021,E73	101.746%	560	841	253	100.00%	100.00%	100.00%	100.00%	100.00%	66.12%	0.00%
BCR	C1021,Lym93,P1021	85.7143%	508	617	333	100.00%	100.00%	100.00%	100.00%	100.00%	59.17%	0.00%
BCAS1	C1021,P1021	71.4286%	497	600	367	100.00%	100.00%	100.00%	100.00%	100.00%	54.17%	0.00%
STAT3	C1021,Lym79,Lym93,P1021	100%	579	847	159	100.00%	100.00%	100.00%	100.00%	99.70%	70.29%	0.00%
STAT1	C1021,P1021	69.2532%	444	576	213	100.00%	100.00%	100.00%	100.00%	100.00%	28.06%	0.00%
HOXA13	C1021	48.9796%	411	494	302	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
HOXA11	C1021	16.9252%	344	431	244	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
ECT2L	C1021	93.0233%	390	464	299	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
CBFB	C1021,P1021	100%	445	648	230	100.00%	100.00%	100.00%	100.00%	100.00%	27.37%	0.00%
BRAF	C1021,DC16,DG11,E59,Lym79,Lym93,P1021,E73	104.52%	595	867	215	100.00%	100.00%	100.00%	100.00%	100.00%	76.74%	0.00%
ERCC2	C1021	66.0969%	395	502	270	100.00%	100.00%	100.00%	100.00%	100.00%	0.43%	0.00%
KDR	C1021,P1021	100%	535	723	281	100.00%	100.00%	100.00%	100.00%	100.00%	66.72%	0.00%
SRC	C1021,E59,P1021	100.435%	491	648	242	100.00%	100.00%	100.00%	100.00%	100.00%	55.12%	0.00%
ERCC3	C1021	100%	603	779	276	100.00%	100.00%	100.00%	100.00%	100.00%	82.32%	0.00%
TAL1	C1021	26.3736%	373	467	215	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
DOT1L	C1021,P1021	100%	547	807	212	100.00%	100.00%	100.00%	100.00%	100.00%	62.69%	0.00%
ERCC4	NA	100%	657	899	287	100.00%	100.00%	100.00%	100.00%	100.00%	88.02%	0.00%
EIF2C3	C1021	87.5912%	403	484	309	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
ERCC5	NA	100%	672	962	301	100.00%	100.00%	100.00%	100.00%	100.00%	87.98%	0.00%
LGALS8	C1021	80%	432	545	302	100.00%	100.00%	100.00%	100.00%	100.00%	22.50%	0.00%
PRKAA1	C1021,P1021	60.1786%	434	621	216	100.00%	100.00%	100.00%	100.00%	100.00%	24.53%	0.00%
ATRX	C1021	100.348%	337	497	145	100.00%	100.00%	100.00%	100.00%	95.45%	0.00%	0.00%
RAD51D	C1021,E73,H41,H62,HB23,FC59,FH44,H68,HBO28,H54	100%	508	662	313	100.00%	100.00%	100.00%	100.00%	100.00%	48.85%	0.00%
RAD51C	C1021,E73,H41,H62,HB23,FC59,FH44,H68,HBO28,MC58,MH43,H54	100%	612	783	332	100.00%	100.00%	100.00%	100.00%	100.00%	82.11%	0.00%
RAD51B	C1021	94.8052%	428	627	174	100.00%	100.00%	100.00%	100.00%	99.64%	19.75%	0.00%
CRLF2	C1021	84.593%	579	773	357	100.00%	100.00%	100.00%	100.00%	100.00%	73.58%	0.00%
LRP2	C1021,P1021	52.9891%	448	631	257	100.00%	100.00%	100.00%	100.00%	100.00%	30.77%	0.00%
CYP1A1	C1021	41.958%	382	483	242	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
LRP6	C1021	59.1133%	436	532	291	100.00%	100.00%	100.00%	100.00%	100.00%	25.00%	0.00%
CDA	C1021	87.218%	408	525	250	100.00%	100.00%	100.00%	100.00%	100.00%	19.31%	0.00%
LRP4	C1021,P1021	81.7308%	553	691	323	100.00%	100.00%	100.00%	100.00%	100.00%	74.61%	0.00%
LRP5	C1021	50.6329%	428	498	339	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
IL10	NA	86.5854%	411	530	254	100.00%	100.00%	100.00%	100.00%	100.00%	14.02%	0.00%
EIF2AK3	C1021	15.3649%	427	512	297	100.00%	100.00%	100.00%	100.00%	100.00%	5.83%	0.00%
IMPG1	C1021,P1021	51.2821%	434	543	303	100.00%	100.00%	100.00%	100.00%	100.00%	25.00%	0.00%
GSTM5	C1021	100%	393	467	309	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
IL6	C1021	62.8272%	347	454	210	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
SOX9	C1021	100%	587	810	356	100.00%	100.00%	100.00%	100.00%	100.00%	83.95%	0.00%
PARK2	C1021,P1021	100%	510	674	296	100.00%	100.00%	100.00%	100.00%	100.00%	61.06%	0.00%
COL1A1	C1021,P1021	74.0741%	403	521	268	100.00%	100.00%	100.00%	100.00%	100.00%	14.17%	0.00%
RHEB	C1021,P1021	100%	461	529	331	100.00%	100.00%	100.00%	100.00%	100.00%	32.98%	0.00%
CDH11	C1021	47.2441%	421	527	275	100.00%	100.00%	100.00%	100.00%	100.00%	18.33%	0.00%
PPP2R1A	C1021	100%	511	750	219	100.00%	100.00%	100.00%	100.00%	100.00%	54.68%	0.00%
